,车站,拼音,路局,地区,经度x,纬度x,id,经度,纬度,省,市,区
60,合肥北城,HE FEI BEI CHENG,中国铁路上海局,安徽省 合肥市 长丰县,116.4698,33.3881,36990862,117.2455,32.06457424,安徽省,合肥市,长丰县
61,合肥,HE FEI,中国铁路上海局,安徽省 合肥市 瑶海区,116.5339,33.2087,31900137,117.3086449,31.88689648,安徽省,合肥市,瑶海区
62,合肥南,HE FEI NAN,中国铁路上海局,安徽省 合肥市 包河区,116.5086,33.1204,8640433,117.2837219,31.79944416,安徽省,合肥市,包河区
172,安庆,AN QING,中国铁路上海局,安徽省 安庆市 宜秀区,116.2806,31.8599,43270283,117.0591191,30.55104496,安徽省,安庆市,宜秀区
173,安庆西,AN QING XI,中国铁路上海局,安徽省 安庆市 怀宁县,116.0771,31.984,95364762,116.8586512,30.6739536,安徽省,安庆市,怀宁县
184,蚌埠南,BENG BU NAN,中国铁路上海局,安徽省 蚌埠市 龙子湖区,116.6625,34.2345,6030594,117.4353288,32.9028488,安徽省,蚌埠市,龙子湖区
185,蚌埠,BENG BU,中国铁路上海局,安徽省 蚌埠市 龙子湖区,116.5961,34.2761,26640376,117.3699181,32.94404944,安徽省,蚌埠市,龙子湖区
243,亳州,BO ZHOU,中国铁路上海局,安徽省 亳州市 谯城区,114.9938,35.1892,19580566,115.7914924,33.84838368,安徽省,亳州市,谯城区
245,亳州南,BO ZHOU NAN,中国铁路上海局,安徽省 亳州市 谯城区,114.9932,35.1356,90736030,115.7909013,33.79529824,安徽省,亳州市,谯城区
263,巢湖东,CHAO HU DONG,中国铁路上海局,安徽省 合肥市 巢湖市,117.1535,32.9385,22490204,117.9190129,31.6192904,安徽省,合肥市,巢湖市
265,巢湖,CHAO HU,中国铁路上海局,安徽省 合肥市 巢湖市,117.1184,32.9354,47510289,117.8844358,31.61622016,安徽省,合肥市,巢湖市
270,长临河,CHANG LIN HE,中国铁路上海局,安徽省 合肥市 肥东县,116.7046,33.0194,22480776,117.4768015,31.69941376,安徽省,合肥市,肥东县
307,滁州北,CHU ZHOU BEI,中国铁路上海局,安徽省 滁州市 琅琊区,117.5617,33.6355,26750672,118.3211307,32.3095992,安徽省,滁州市,琅琊区
312,池州,CHI ZHOU,中国铁路上海局,安徽省 池州市 贵池区,116.7444,31.93,32370842,117.5160084,30.620472,安徽省,池州市,贵池区
313,滁州,CHU ZHOU,中国铁路上海局,安徽省 滁州市 全椒县,117.5539,33.5236,6070277,118.3134469,32.19877344,安徽省,滁州市,全椒县
373,砀山南,DANG SHAN NAN,中国铁路上海局,安徽省 宿州市 砀山县,115.5065,35.7323,55810753,116.2965532,34.38626992,安徽省,宿州市,砀山县
402,东至,DONG ZHI,中国铁路上海局,安徽省 池州市 东至县,116.2434,31.4791,32430703,117.0224733,30.17390064,安徽省,池州市,东至县
417,肥东,FEI DONG,中国铁路上海局,安徽省 合肥市 肥东县,116.7067,33.1842,8630882,117.4788702,31.86263168,安徽省,合肥市,肥东县
446,肥西,FEI XI,中国铁路上海局,安徽省 合肥市 肥西县,116.3593,33.0389,43050170,117.1366464,31.71872656,安徽省,合肥市,肥西县
448,阜阳,FU YANG,中国铁路上海局,安徽省 阜阳市 颍东区,115.0666,34.2479,19640188,115.8632077,32.91612016,安徽省,阜阳市,颍东区
456,阜阳西,FU YANG XI,中国铁路上海局,安徽省 阜阳市 颍州区,114.9471,34.2157,89472163,115.7454882,32.88422928,安徽省,阜阳市,颍州区
513,淮北,HUAI BEI,中国铁路上海局,安徽省 淮北市 相山区,116.0138,35.31,47780226,116.7962944,33.968024,安徽省,淮北市,相山区
573,淮南,HUAI NAN,中国铁路上海局,安徽省 淮南市 田家庵区,116.2337,33.9607,47390577,117.0129179,32.63167728,安徽省,淮南市,田家庵区
575,淮南东,HUAI NAN DONG,中国铁路上海局,安徽省 淮南市 大通区,116.3668,33.9758,6040418,117.1440347,32.64663232,安徽省,淮南市,大通区
576,淮南南,HUAI NAN NAN,中国铁路上海局,安徽省 淮南市 田家庵区,116.2556,33.8716,90799808,117.0344916,32.54343264,安徽省,淮南市,田家庵区
585,黄山北,HUANG SHAN BEI,中国铁路上海局,安徽省 黄山市 徽州区,117.5064,31.1189,22570708,118.2666546,29.81715856,安徽省,黄山市,徽州区
592,黄山,HUANG SHAN,中国铁路上海局,安徽省 黄山市 屯溪区,117.5565,31.0248,32860931,118.3160082,29.72396192,安徽省,黄山市,屯溪区
596,黄山西,HUANG SHAN XI,中国铁路上海局,安徽省 黄山市,117.3209,31.5847,101267667,118.0839186,30.27848688,安徽省,黄山市,
674,界首南,JIE SHOU NAN,中国铁路上海局,安徽省 阜阳市 界首市,114.5133,34.5582,89450949,115.3181518,33.22344128,安徽省,阜阳市,界首市
678,绩溪北,JI XI BEI,中国铁路上海局,安徽省 宣城市 绩溪县,117.8093,31.3781,22550703,118.5650414,30.07387024,安徽省,宣城市,绩溪县
688,绩溪县,JI XI XIAN,中国铁路上海局,安徽省 宣城市 绩溪县,117.8225,31.3618,32800992,118.5780448,30.05772672,安徽省,宣城市,绩溪县
702,金寨,JIN ZHAI,中国铁路上海局,安徽省 六安市 金寨县,115.1747,32.946,8690142,115.969697,31.6267184,安徽省,六安市,金寨县
737,六安,LU AN,中国铁路上海局,安徽省 六安市,115.7075,33.0359,8670003,116.4945583,31.71575536,安徽省,六安市,
786,庐江,LU JIANG,中国铁路上海局,安徽省 合肥市 庐江县,116.3933,32.6585,43080473,117.1701398,31.3419784,安徽省,合肥市,庐江县
788,庐江西,LU JIANG XI,中国铁路上海局,安徽省 合肥市 庐江县,116.4345,32.5847,92228451,117.210726,31.26888688,安徽省,合肥市,庐江县
807,龙桥,LONG QIAO,中国铁路上海局,安徽省 合肥市 庐江县,116.6639,32.4505,90375657,117.4367079,31.1359752,安徽省,合肥市,庐江县
860,马鞍山东,MA AN SHAN DONG,中国铁路上海局,安徽省 马鞍山市 花山区,117.7797,33.0137,48080497,118.5358825,31.69376848,安徽省,马鞍山市,花山区
870,明光,MING GUANG,中国铁路上海局,安徽省 滁州市 明光市,117.2172,34.1015,26690307,117.9817637,32.7711256,安徽省,滁州市,明光市
1028,潜山,QIAN SHAN,中国铁路上海局,安徽省 安庆市 潜山市,115.8264,31.8843,95381441,116.6116866,30.57521072,安徽省,安庆市,潜山市
1061,舒城东,SHU CHENG DONG,中国铁路上海局,安徽省 六安市 舒城县,116.2625,32.8038,92220105,117.0412888,31.48588352,安徽省,六安市,舒城县
1085,水家湖,SHUI JIA HU,中国铁路上海局,安徽省 合肥市 长丰县,116.3859,33.8123,6050784,117.1628501,32.48470192,安徽省,合肥市,长丰县
